"ID","pracword","valence","word","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_3.keys","key_resp_3.rt","key_resp_4.keys","key_resp_4.rt","response.keys","response.corr","response.rt","date","frameRate","expName","session","participant","trial40","trial40c","rt","logrt","id","valenceE","rtms","idcat","valence2","valcat","val2cat"
204,NA,"positive","artistic",NA,NA,NA,NA,0,0,0,9,NA,NA,NA,NA,"up",0,0.97615695,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,1,-0.475,0.97615695,6.88362338291087,204,0.5,976.15695,"204",1,"0.5","1"
204,NA,"negative","gullible",NA,NA,NA,NA,0,1,1,34,NA,NA,NA,NA,"down",0,0.742563009,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,2,-0.45,0.742563009,6.61010772768246,204,-0.5,742.563009,"204",-1,"-0.5","-1"
204,NA,"positive","neat",NA,NA,NA,NA,0,2,2,5,NA,NA,NA,NA,"up",0,0.594193935,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,3,-0.425,0.594193935,6.38720575597541,204,0.5,594.193935,"204",1,"0.5","1"
204,NA,"negative","impulsive",NA,NA,NA,NA,0,3,3,21,NA,NA,NA,NA,"down",0,0.775370121,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,4,-0.4,0.775370121,6.65334049083434,204,-0.5,775.370121,"204",-1,"-0.5","-1"
204,NA,"positive","thrifty",NA,NA,NA,NA,0,4,4,2,NA,NA,NA,NA,"up",0,0.809697151,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,5,-0.375,0.809697151,6.69666029009875,204,0.5,809.697151,"204",1,"0.5","1"
204,NA,"positive","ambitious",NA,NA,NA,NA,0,5,5,10,NA,NA,NA,NA,"up",0,0.592213154,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,6,-0.35,0.592213154,6.38386662751132,204,0.5,592.213154,"204",1,"0.5","1"
204,NA,"positive","trusting",NA,NA,NA,NA,0,6,6,8,NA,NA,NA,NA,"up",0,0.809190035,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,7,-0.325,0.809190035,6.69603379058603,204,0.5,809.190035,"204",1,"0.5","1"
204,NA,"positive","outgoing",NA,NA,NA,NA,0,7,7,17,NA,NA,NA,NA,"down",0,0.842602015,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,8,-0.3,0.842602015,6.7364947409496,204,0.5,842.602015,"204",1,"0.5","1"
204,NA,"positive","proud",NA,NA,NA,NA,0,8,8,11,NA,NA,NA,NA,"up",0,0.943104982,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,9,-0.275,0.943104982,6.84917760411462,204,0.5,943.104982,"204",1,"0.5","1"
204,NA,"negative","boring",NA,NA,NA,NA,0,9,9,20,NA,NA,NA,NA,"down",0,0.609926224,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,10,-0.25,0.609926224,6.41333800559071,204,-0.5,609.926224,"204",-1,"-0.5","-1"
204,NA,"positive","courageous",NA,NA,NA,NA,0,10,10,15,NA,NA,NA,NA,"up",0,1.091324806,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,11,-0.225,1.091324806,6.99514765554888,204,0.5,1091.324806,"204",1,"0.5","1"
204,NA,"negative","insecure",NA,NA,NA,NA,0,11,11,22,NA,NA,NA,NA,"down",0,0.875722885,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,12,-0.2,0.875722885,6.77504969956572,204,-0.5,875.722885,"204",-1,"-0.5","-1"
204,NA,"positive","tender",NA,NA,NA,NA,0,12,12,6,NA,NA,NA,NA,"up",0,0.709933996,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,13,-0.175,0.709933996,6.56517200233372,204,0.5,709.933996,"204",1,"0.5","1"
204,NA,"negative","clumsy",NA,NA,NA,NA,0,13,13,23,NA,NA,NA,NA,"down",0,0.959984064,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,14,-0.15,0.959984064,6.8669166843241,204,-0.5,959.984064,"204",-1,"-0.5","-1"
204,NA,"negative","moody",NA,NA,NA,NA,0,14,14,30,NA,NA,NA,NA,"down",0,0.743292093,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,15,-0.125,0.743292093,6.61108909397791,204,-0.5,743.292093,"204",-1,"-0.5","-1"
204,NA,"negative","childish",NA,NA,NA,NA,0,15,15,29,NA,NA,NA,NA,"down",0,0.725885868,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,16,-0.1,0.725885868,6.58739279585497,204,-0.5,725.885868,"204",-1,"-0.5","-1"
