"Participant","block","trial","stim","stimgroup","RT","Acuracy","stimposition","maskside","response","Correct_numeric","Acuracy_fixed_mean","filter_.","ZRT","Outlire","AlertEffect_first","OrientingEffect_first","ConflictEffect_first","GrandMeanEffect_first","ANT_Accuracy_first","Dominant_Eye_first","Right_Eye_Acuity_first","Left_Eye_Acuity_first","Age_first","Gender1male2female_first","Face_orientation","fo1","fo2","trial.r","pred","logRT"
1,1,80,"folder/matchedM017SR.png",5,2.313070963,1,2,2,2,1,0.947916667,"Selected",0.433610424,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,79,2.00003306419206,0.838576062847853
1,1,81,"folder/matchedM003.png  ",2,3.645235525,1,4,1,4,1,0.947916667,"Selected",1.64906074,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,80,1.5475662747823,1.29342097928531
1,1,82,"folder/matchedM024SR.png",6,3.946969447,1,1,1,1,1,0.947916667,"Selected",1.924359003,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,81,2.00003306419206,1.37294805583494
1,1,83,"folder/matchedM005.png  ",2,1.742761404,1,4,1,4,1,0.947916667,"Selected",-0.086732898,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,82,1.5475662747823,0.555470869043925
1,1,84,"folder/matchedM072SL.png",5,2.984560403,1,3,2,3,1,0.947916667,"Selected",1.046269006,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,83,2.00003306419206,1.09345246732275
1,1,85,"folder/matchedM001SR.png",5,3.124548795,1,3,2,3,1,0.947916667,"Selected",1.173992667,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,84,2.00003306419206,1.13928988716376
1,1,87,"folder/matchedM024.png  ",1,1.173476417,1,1,2,1,1,0.947916667,"Selected",-0.606141414,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,86,1.5475662747823,0.159970639813868
1,1,89,"folder/matchedM019SL.png",5,1.886002168,1,3,2,3,1,0.947916667,"Selected",0.043958186,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,88,2.00003306419206,0.634459333733405
1,1,91,"folder/matchedM016SL.png",5,1.011221627,1,1,2,1,1,0.947916667,"Selected",-0.754180658,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,90,2.00003306419206,0.0111591316421906
1,1,92,"folder/matchedM001.png  ",1,1.425216941,1,3,2,3,1,0.947916667,"Selected",-0.376456502,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,91,1.5475662747823,0.354324041431633
1,1,94,"folder/matchedM067.png  ",2,1.682289686,1,1,1,1,1,0.947916667,"Selected",-0.141906538,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,93,1.5475662747823,0.520155773831953
1,2,1,"folder/matchedM005SR.png",6,1.284382145,1,1,1,1,1,0.947916667,"Selected",-0.504952412,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,0,2.00003306419206,0.25027778170402
1,2,2,"folder/matchedM019.png  ",2,1.184771283,1,2,1,2,1,0.947916667,"Selected",-0.595836119,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,1,1.5475662747823,0.169549745831661
1,2,4,"folder/matchedM024SR.png",6,1.249849095,1,1,1,1,1,0.947916667,"Selected",-0.536459935,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,3,2.00003306419206,0.223022820026481
1,2,5,"folder/matchedM020SR.png",6,1.288665111,1,1,1,1,1,0.947916667,"Selected",-0.501044687,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,4,2.00003306419206,0.253606884926406
1,2,6,"folder/matchedM024.png  ",2,1.467102784,1,3,1,3,1,0.947916667,"Selected",-0.338240382,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,5,1.5475662747823,0.383289560782818
1,2,9,"folder/matchedM019SL.png",6,2.718144371,1,3,1,3,1,0.947916667,"Selected",0.803194344,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,8,2.00003306419206,0.999949430948189
1,2,10,"folder/matchedM001.png  ",1,1.039964316,1,1,2,1,1,0.947916667,"Selected",-0.727956187,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,9,1.5475662747823,0.0391864010261655
1,2,11,"folder/matchedM049SL.png",6,1.178133804,1,1,1,1,1,0.947916667,"Selected",-0.601892071,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,10,2.00003306419206,0.163931664517563
1,2,12,"folder/matchedM005SR.png",5,0.872888396,1,4,2,4,1,0.947916667,"Selected",-0.880394171,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,11,2.00003306419206,-0.135947570948165
1,2,14,"folder/matchedM003SR.png",6,4.877543502,1,4,1,4,1,0.947916667,"Selected",2.773403153,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,13,2.00003306419206,1.58464171238873
1,2,15,"folder/matchedM049SL.png",5,1.136086921,1,4,2,4,1,0.947916667,"Selected",-0.640255123,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,14,2.00003306419206,0.127589832336628
1,2,16,"folder/matchedM004.png  ",2,1.017650551,1,1,1,1,1,0.947916667,"Selected",-0.748314988,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,15,1.5475662747823,0.0174965890601263
