"ID","pracword","valence","word","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_3.keys","key_resp_3.rt","key_resp_4.keys","key_resp_4.rt","response.keys","response.corr","response.rt","date","frameRate","expName","session","participant","trial40","trial40c","rt","logrt","id","valenceE","rtms","rt.z"
202,NA,"positive","confident",NA,NA,NA,NA,0,17,17,7,NA,NA,NA,NA,"up",0,0.575605869,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,18,-0.05,0.575605869,6.35542317127812,202,0.5,575.605869,-1.17802385463857
202,NA,"negative","moody",NA,NA,NA,NA,0,18,18,30,NA,NA,NA,NA,"up",0,0.893532038,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,19,-0.025,0.893532038,6.79518219069979,202,-0.5,893.532038,-0.285122087665282
202,NA,"negative","boring",NA,NA,NA,NA,0,20,20,20,NA,NA,NA,NA,"up",0,1.109902859,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,21,0.025,1.109902859,7.01202777606236,202,-0.5,1109.902859,0.322559529107705
202,NA,"positive","ambitious",NA,NA,NA,NA,0,21,21,10,NA,NA,NA,NA,"up",0,0.775460005,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,22,0.05,0.775460005,6.65345640810806,202,0.5,775.460005,-0.61672966569963
202,NA,"positive","enthusiastic",NA,NA,NA,NA,0,24,24,16,NA,NA,NA,NA,"up",0,1.324153185,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,25,0.125,1.324153185,7.18852842844487,202,0.5,1324.153185,0.924285694845272
202,NA,"positive","wise",NA,NA,NA,NA,0,25,25,19,NA,NA,NA,NA,"up",0,1.308738947,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,26,0.15,1.308738947,7.17681931668586,202,0.5,1308.738947,0.880994510637196
202,NA,"positive","outgoing",NA,NA,NA,NA,0,27,27,17,NA,NA,NA,NA,"up",0,0.608772993,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,28,0.2,0.608772993,6.41144544452539,202,0.5,608.772993,-1.08487334828619
202,NA,"positive","neat",NA,NA,NA,NA,0,28,28,5,NA,NA,NA,NA,"up",0,0.611086845,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,29,0.225,0.611086845,6.41523908491413,202,0.5,611.086845,-1.07837485039339
202,NA,"negative","forgetful",NA,NA,NA,NA,0,30,30,31,NA,NA,NA,NA,"up",0,0.992635012,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,31,0.275,0.992635012,6.90036303555161,202,-0.5,992.635012,-0.00678947706188054
202,NA,"negative","anxious",NA,NA,NA,NA,0,32,32,35,NA,NA,NA,NA,"up",0,0.926002026,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,33,0.325,0.926002026,6.83087642254875,202,-0.5,926.002026,-0.193929501191529
202,NA,"positive","tender",NA,NA,NA,NA,0,33,33,6,NA,NA,NA,NA,"up",0,0.792806864,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,34,0.35,0.792806864,6.67557964089959,202,0.5,792.806864,-0.568010678202453
