"id1","subject","subj","age","gender","gender_TEXT","hispanic","race","race_TEXT","relstat","relstat_TEXT","ass.matrix.1","ass.matrix.2","ass.matrix.3","ass.matrix.4","ass.matrix.5","ass.matrix.6","ass.matrix.7","ass.matrix.8","ass.matrix.9","ass.matrix.10","ass.matrix.11","ass.matrix.12","ass.v","ass.c","rmpredom","rmpredomave","rmpredom.c","rmpredomave.c","prom.matrix.1","prom.matrix.2","prom.matrix.3","prom.matrix.4","prom.matrix.5","prom.v","prom.c","prev.matrix.1","prev.matrix.2","prev.matrix.3","prev.matrix.4","prev.matrix.5","prev.v","prev.c","rfpredom","rfpredomave","rfpredom.c","rfpredomave.c","se.all.1","se.all.2","se.all.3","se.all.4","se.all.5","se.all.6","se.all.7","se.all.8","se.all.9","se.all.10","se.v","se.c","pracword","valence","word","response.rt","session","participant","trial40","trial40c","rt","logrt","id","valenceE","rtms","rt.z"
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","persistent",0.7586100,1,  201,23, 0.075,0.7586100,6.631488,201, 0.5, 758.6100,-0.664053201
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","orderly",0.7927721,1,  201,25, 0.125,0.7927721,6.675536,201, 0.5, 792.7721,-0.568108440
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","talented",0.9903312,1,  201,26, 0.150,0.9903312,6.898039,201, 0.5, 990.3312,-0.013259853
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"negative","messy",0.9936080,1,  201,27, 0.175,0.9936080,6.901343,201,-0.5, 993.6080,-0.004056827
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","trusting",1.1924739,1,  201,28, 0.200,1.1924739,7.083785,201, 0.5,1192.4739, 0.554461854
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","proud",1.3436041,1,  201,29, 0.225,1.3436041,7.203111,201, 0.5,1343.6041, 0.978913930
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","disciplined",0.7749238,1,  201,30, 0.250,0.7749238,6.652765,201, 0.5, 774.9238,-0.618235605
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"negative","stubborn",0.6261199,1,  201,31, 0.275,0.6261199,6.439542,201,-0.5, 626.1199,-1.036154361
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"negative","inhibited",1.0755310,1,  201,32, 0.300,1.0755310,6.980570,201,-0.5,1075.5310, 0.226025518
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"negative","worrying",0.8092182,1,  201,34, 0.350,0.8092182,6.696069,201,-0.5, 809.2182,-0.521919215
