"Participant","block","trial","stim","stimgroup","RT","Acuracy","stimposition","maskside","response","Correct_numeric","Acuracy_fixed_mean","filter_.","ZRT","Outlire","AlertEffect_first","OrientingEffect_first","ConflictEffect_first","GrandMeanEffect_first","ANT_Accuracy_first","Dominant_Eye_first","Right_Eye_Acuity_first","Left_Eye_Acuity_first","Age_first","Gender1male2female_first","Face_orientation","fo1","fo2","trial.r"
1,1,77,"folder/matchedM002SL.png",6,1.976600226,1,2,1,2,1,0.947916667,"Selected",0.126618723,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,76
1,1,79,"folder/matchedM003.png  ",1,1.589870006,1,4,2,4,1,0.947916667,"Selected",-0.226229101,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,78
1,1,80,"folder/matchedM017SR.png",5,2.313070963,1,2,2,2,1,0.947916667,"Selected",0.433610424,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,79
1,1,81,"folder/matchedM003.png  ",2,3.645235525,1,4,1,4,1,0.947916667,"Selected",1.64906074,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,80
1,1,82,"folder/matchedM024SR.png",6,3.946969447,1,1,1,1,1,0.947916667,"Selected",1.924359003,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,81
1,1,83,"folder/matchedM005.png  ",2,1.742761404,1,4,1,4,1,0.947916667,"Selected",-0.086732898,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,82
1,1,84,"folder/matchedM072SL.png",5,2.984560403,1,3,2,3,1,0.947916667,"Selected",1.046269006,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,83
1,1,85,"folder/matchedM001SR.png",5,3.124548795,1,3,2,3,1,0.947916667,"Selected",1.173992667,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,84
1,1,87,"folder/matchedM024.png  ",1,1.173476417,1,1,2,1,1,0.947916667,"Selected",-0.606141414,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,86
1,1,88,"folder/matchedM021IN.png",4,4.101152403,1,3,1,3,1,0.947916667,"Selected",2.065033607,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,87
1,1,89,"folder/matchedM019SL.png",5,1.886002168,1,3,2,3,1,0.947916667,"Selected",0.043958186,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,88
1,1,90,"folder/matchedM021IN.png",3,1.734850024,1,3,2,3,1,0.947916667,"Selected",-0.093951142,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,89
1,1,91,"folder/matchedM016SL.png",5,1.011221627,1,1,2,1,1,0.947916667,"Selected",-0.754180658,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,90
1,1,92,"folder/matchedM001.png  ",1,1.425216941,1,3,2,3,1,0.947916667,"Selected",-0.376456502,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,91
1,1,93,"folder/matchedM020IN.png",4,1.573702306,1,2,1,2,1,0.947916667,"Selected",-0.240980308,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,92
1,1,94,"folder/matchedM067.png  ",2,1.682289686,1,1,1,1,1,0.947916667,"Selected",-0.141906538,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,93
