prim,Prime.result,target,congruent,operand,distance,subject,rt,OT,subjective.0.is.unaware,presentation_time,addition.place,counter.balance,exclude_from_analysis
12,12,8,no,A,4,1,736,0.587301587,0,1700,1,1,FALSE
11,11,13,no,A,-2,1,976,0.587301587,0,1700,1,1,FALSE
10,10,12,no,A,-2,1,804,0.587301587,0,1700,1,1,FALSE
9,9,13,no,A,-4,1,700,0.587301587,0,1700,1,1,FALSE
11,11,13,no,A,-2,1,804,0.587301587,0,1700,1,1,FALSE
12,12,13,no,A,-1,1,735,0.587301587,0,1700,1,1,FALSE
11,11,9,no,A,2,1,700,0.587301587,0,1700,1,1,FALSE
12,12,10,no,A,2,1,523,0.587301587,0,1700,1,1,FALSE
13,13,9,no,A,4,1,975,0.587301587,0,1700,1,1,FALSE
10,10,11,no,A,-1,1,737,0.587301587,0,1700,1,1,FALSE
11,11,9,no,A,2,1,803,0.587301587,0,1700,1,1,FALSE
14,14,11,no,A,3,1,804,0.587301587,0,1700,1,1,FALSE
12,12,12,yes,A,0,1,736,0.587301587,0,1700,1,1,FALSE
10,10,10,yes,A,0,1,596,0.587301587,0,1700,1,1,FALSE
9,9,9,yes,A,0,1,841,0.587301587,0,1700,1,1,FALSE
9,9,9,yes,A,0,1,872,0.587301587,0,1700,1,1,FALSE
10,10,10,yes,A,0,1,700,0.587301587,0,1700,1,1,FALSE
10,10,10,yes,A,0,1,596,0.587301587,0,1700,1,1,FALSE
11,11,11,yes,A,0,1,804,0.587301587,0,1700,1,1,FALSE
12,12,12,yes,A,0,1,700,0.587301587,0,1700,1,1,FALSE
14,14,14,yes,A,0,1,804,0.587301587,0,1700,1,1,FALSE
11,11,11,yes,A,0,1,804,0.587301587,0,1700,1,1,FALSE
8,8,8,yes,A,0,1,596,0.587301587,0,1700,1,1,FALSE
9,9,9,yes,A,0,1,596,0.587301587,0,1700,1,1,FALSE
11,11,11,yes,A,0,1,804,0.587301587,0,1700,1,1,FALSE
11,11,11,yes,A,0,1,908,0.587301587,0,1700,1,1,FALSE
10,10,10,yes,A,0,1,560,0.587301587,0,1700,1,1,FALSE
11,11,11,yes,A,0,1,804,0.587301587,0,1700,1,1,FALSE
9,9,9,yes,A,0,1,768,0.587301587,0,1700,1,1,FALSE
12,12,12,yes,A,0,1,700,0.587301587,0,1700,1,1,FALSE
13,13,13,yes,A,0,1,596,0.587301587,0,1700,1,1,FALSE
10,10,10,yes,A,0,1,872,0.587301587,0,1700,1,1,FALSE
11,11,11,yes,A,0,1,803,0.587301587,0,1700,1,1,FALSE
12,12,12,yes,A,0,1,804,0.587301587,0,1700,1,1,FALSE
8,8,8,yes,A,0,1,840,0.587301587,0,1700,1,1,FALSE
9,9,9,yes,A,0,1,NA,0.587301587,0,1700,1,1,FALSE
10,10,10,yes,A,0,1,768,0.587301587,0,1700,1,1,FALSE
12,12,12,yes,A,0,1,976,0.587301587,0,1700,1,1,FALSE
12,12,12,yes,A,0,1,735,0.587301587,0,1700,1,1,FALSE
9,9,9,yes,A,0,1,976,0.587301587,0,1700,1,1,FALSE
11,11,11,yes,A,0,1,803,0.587301587,0,1700,1,1,FALSE
12,12,12,yes,A,0,1,628,0.587301587,0,1700,1,1,FALSE
13,13,13,yes,A,0,1,NA,0.587301587,0,1700,1,1,FALSE
13,13,13,yes,A,0,1,699,0.587301587,0,1700,1,1,FALSE
12,12,12,yes,A,0,1,664,0.587301587,0,1700,1,1,FALSE
11,11,11,yes,A,0,1,839,0.587301587,0,1700,1,1,FALSE
12,12,12,yes,A,0,1,595,0.587301587,0,1700,1,1,FALSE
14,14,14,yes,A,0,1,767,0.587301587,0,1700,1,1,FALSE
13,13,13,yes,A,0,1,700,0.587301587,0,1700,1,1,FALSE
12,12,12,yes,A,0,1,736,0.587301587,0,1700,1,1,FALSE
13,13,13,yes,A,0,1,769,0.587301587,0,1700,1,1,FALSE
13,13,13,yes,A,0,1,700,0.587301587,0,1700,1,1,FALSE
0,0,4,no,S,-4,1,664,0.587301587,0,1700,1,1,FALSE
0,0,2,no,S,-2,1,768,0.587301587,0,1700,1,1,FALSE
0,0,3,no,S,-3,1,840,0.587301587,0,1700,1,1,FALSE
0,0,1,no,S,-1,1,804,0.587301587,0,1700,1,1,FALSE
3,3,0,no,S,3,1,561,0.587301587,0,1700,1,1,FALSE
2,2,0,no,S,2,1,736,0.587301587,0,1700,1,1,FALSE
1,1,4,no,S,-3,1,664,0.587301587,0,1700,1,1,FALSE
0,0,1,no,S,-1,1,803,0.587301587,0,1700,1,1,FALSE
0,0,3,no,S,-3,1,628,0.587301587,0,1700,1,1,FALSE
4,4,0,no,S,4,1,560,0.587301587,0,1700,1,1,FALSE
2,2,0,no,S,2,1,628,0.587301587,0,1700,1,1,FALSE
0,0,3,no,S,-3,1,944,0.587301587,0,1700,1,1,FALSE
1,1,0,no,S,1,1,596,0.587301587,0,1700,1,1,FALSE
0,0,1,no,S,-1,1,840,0.587301587,0,1700,1,1,FALSE
0,0,1,no,S,-1,1,805,0.587301587,0,1700,1,1,FALSE
5,5,0,no,S,5,1,700,0.587301587,0,1700,1,1,FALSE
4,4,0,no,S,4,1,560,0.587301587,0,1700,1,1,FALSE
2,2,0,no,S,2,1,559,0.587301587,0,1700,1,1,FALSE
0,0,5,no,S,-5,1,700,0.587301587,0,1700,1,1,FALSE
1,1,6,no,S,-5,1,NA,0.587301587,0,1700,1,1,FALSE
0,0,2,no,S,-2,1,804,0.587301587,0,1700,1,1,FALSE
3,3,0,no,S,3,1,628,0.587301587,0,1700,1,1,FALSE
1,1,0,no,S,1,1,767,0.587301587,0,1700,1,1,FALSE
0,0,5,no,S,-5,1,736,0.587301587,0,1700,1,1,FALSE
6,6,3,no,S,3,1,664,0.587301587,0,1700,1,1,FALSE
0,0,2,no,S,-2,1,768,0.587301587,0,1700,1,1,FALSE
4,4,0,no,S,4,1,944,0.587301587,0,1700,1,1,FALSE
3,3,0,no,S,3,1,804,0.587301587,0,1700,1,1,FALSE
1,1,0,no,S,1,1,491,0.587301587,0,1700,1,1,FALSE
5,5,0,no,S,5,1,664,0.587301587,0,1700,1,1,FALSE
2,2,1,no,S,1,1,524,0.587301587,0,1700,1,1,FALSE
3,3,2,no,S,1,1,664,0.587301587,0,1700,1,1,FALSE
1,1,0,no,S,1,1,736,0.587301587,0,1700,1,1,FALSE
0,0,2,no,S,-2,1,737,0.587301587,0,1700,1,1,FALSE
2,2,0,no,S,2,1,872,0.587301587,0,1700,1,1,FALSE
0,0,1,no,S,-1,1,873,0.587301587,0,1700,1,1,FALSE
0,0,4,no,S,-4,1,664,0.587301587,0,1700,1,1,FALSE
0,0,0,yes,S,0,1,737,0.587301587,0,1700,1,1,FALSE
0,0,0,yes,S,0,1,561,0.587301587,0,1700,1,1,FALSE
0,0,0,yes,S,0,1,523,0.587301587,0,1700,1,1,FALSE
0,0,0,yes,S,0,1,664,0.587301587,0,1700,1,1,FALSE
0,0,0,yes,S,0,1,664,0.587301587,0,1700,1,1,FALSE
3,3,3,yes,S,0,1,769,0.587301587,0,1700,1,1,FALSE
1,1,1,yes,S,0,1,596,0.587301587,0,1700,1,1,FALSE
0,0,0,yes,S,0,1,524,0.587301587,0,1700,1,1,FALSE
2,2,2,yes,S,0,1,768,0.587301587,0,1700,1,1,FALSE
4,4,4,yes,S,0,1,596,0.587301587,0,1700,1,1,FALSE
0,0,0,yes,S,0,1,523,0.587301587,0,1700,1,1,FALSE
2,2,2,yes,S,0,1,736,0.587301587,0,1700,1,1,FALSE
1,1,1,yes,S,0,1,839,0.587301587,0,1700,1,1,FALSE
0,0,0,yes,S,0,1,664,0.587301587,0,1700,1,1,FALSE
0,0,0,yes,S,0,1,597,0.587301587,0,1700,1,1,FALSE
3,3,3,yes,S,0,1,871,0.587301587,0,1700,1,1,FALSE
5,5,5,yes,S,0,1,700,0.587301587,0,1700,1,1,FALSE
0,0,0,yes,S,0,1,664,0.587301587,0,1700,1,1,FALSE
4,4,4,yes,S,0,1,628,0.587301587,0,1700,1,1,FALSE
1,1,1,yes,S,0,1,768,0.587301587,0,1700,1,1,FALSE
2,2,2,yes,S,0,1,804,0.587301587,0,1700,1,1,FALSE
1,1,1,yes,S,0,1,525,0.587301587,0,1700,1,1,FALSE
0,0,0,yes,S,0,1,NA,0.587301587,0,1700,1,1,FALSE
0,0,0,yes,S,0,1,663,0.587301587,0,1700,1,1,FALSE
5,5,5,yes,S,0,1,700,0.587301587,0,1700,1,1,FALSE
3,3,3,yes,S,0,1,664,0.587301587,0,1700,1,1,FALSE
2,2,2,yes,S,0,1,735,0.587301587,0,1700,1,1,FALSE
6,6,6,yes,S,0,1,700,0.587301587,0,1700,1,1,FALSE
0,0,0,yes,S,0,1,664,0.587301587,0,1700,1,1,FALSE
4,4,4,yes,S,0,1,595,0.587301587,0,1700,1,1,FALSE
2,2,2,yes,S,0,1,840,0.587301587,0,1700,1,1,FALSE
1,1,1,yes,S,0,1,768,0.587301587,0,1700,1,1,FALSE
0,0,0,yes,S,0,1,664,0.587301587,0,1700,1,1,FALSE
3,3,3,yes,S,0,1,701,0.587301587,0,1700,1,1,FALSE
0,0,0,yes,S,0,1,524,0.587301587,0,1700,1,1,FALSE
1,1,1,yes,S,0,1,873,0.587301587,0,1700,1,1,FALSE
0,0,0,yes,S,0,1,560,0.587301587,0,1700,1,1,FALSE
8,8,9,no,A,-1,2,560,0.640625,1,1700,2,1,TRUE
9,9,11,no,A,-2,2,595,0.640625,1,1700,2,1,TRUE
8,8,12,no,A,-4,2,596,0.640625,1,1700,2,1,TRUE
10,10,12,no,A,-2,2,317,0.640625,1,1700,2,1,TRUE
12,12,11,no,A,1,2,663,0.640625,1,1700,2,1,TRUE
13,13,12,no,A,1,2,700,0.640625,1,1700,2,1,TRUE
12,12,11,no,A,1,2,736,0.640625,1,1700,2,1,TRUE
11,11,10,no,A,1,2,736,0.640625,1,1700,2,1,TRUE
12,12,11,no,A,1,2,561,0.640625,1,1700,2,1,TRUE
13,13,9,no,A,4,2,525,0.640625,1,1700,2,1,TRUE
10,10,12,no,A,-2,2,736,0.640625,1,1700,2,1,TRUE
13,13,11,no,A,2,2,665,0.640625,1,1700,2,1,TRUE
9,9,12,no,A,-3,2,176,0.640625,1,1700,2,1,TRUE
11,11,12,no,A,-1,2,664,0.640625,1,1700,2,1,TRUE
10,10,14,no,A,-4,2,523,0.640625,1,1700,2,1,TRUE
9,9,10,no,A,-1,2,595,0.640625,1,1700,2,1,TRUE
12,12,10,no,A,2,2,768,0.640625,1,1700,2,1,TRUE
14,14,13,no,A,1,2,561,0.640625,1,1700,2,1,TRUE
11,11,12,no,A,-1,2,804,0.640625,1,1700,2,1,TRUE
12,12,8,no,A,4,2,524,0.640625,1,1700,2,1,TRUE
12,12,9,no,A,3,2,561,0.640625,1,1700,2,1,TRUE
13,13,10,no,A,3,2,524,0.640625,1,1700,2,1,TRUE
9,9,10,no,A,-1,2,524,0.640625,1,1700,2,1,TRUE
11,11,12,no,A,-1,2,628,0.640625,1,1700,2,1,TRUE
12,12,13,no,A,-1,2,628,0.640625,1,1700,2,1,TRUE
13,13,12,no,A,1,2,628,0.640625,1,1700,2,1,TRUE
9,9,14,no,A,-5,2,560,0.640625,1,1700,2,1,TRUE
10,10,11,no,A,-1,2,769,0.640625,1,1700,2,1,TRUE
12,12,8,no,A,4,2,596,0.640625,1,1700,2,1,TRUE
11,11,13,no,A,-2,2,664,0.640625,1,1700,2,1,TRUE
10,10,12,no,A,-2,2,701,0.640625,1,1700,2,1,TRUE
9,9,13,no,A,-4,2,768,0.640625,1,1700,2,1,TRUE
11,11,13,no,A,-2,2,736,0.640625,1,1700,2,1,TRUE
12,12,13,no,A,-1,2,560,0.640625,1,1700,2,1,TRUE
11,11,9,no,A,2,2,524,0.640625,1,1700,2,1,TRUE
12,12,10,no,A,2,2,628,0.640625,1,1700,2,1,TRUE
13,13,9,no,A,4,2,560,0.640625,1,1700,2,1,TRUE
10,10,11,no,A,-1,2,596,0.640625,1,1700,2,1,TRUE
11,11,9,no,A,2,2,596,0.640625,1,1700,2,1,TRUE
14,14,11,no,A,3,2,664,0.640625,1,1700,2,1,TRUE
12,12,12,yes,A,0,2,596,0.640625,1,1700,2,1,TRUE
10,10,10,yes,A,0,2,736,0.640625,1,1700,2,1,TRUE
9,9,9,yes,A,0,2,524,0.640625,1,1700,2,1,TRUE
9,9,9,yes,A,0,2,560,0.640625,1,1700,2,1,TRUE
10,10,10,yes,A,0,2,664,0.640625,1,1700,2,1,TRUE
10,10,10,yes,A,0,2,908,0.640625,1,1700,2,1,TRUE
11,11,11,yes,A,0,2,492,0.640625,1,1700,2,1,TRUE
12,12,12,yes,A,0,2,700,0.640625,1,1700,2,1,TRUE
14,14,14,yes,A,0,2,736,0.640625,1,1700,2,1,TRUE
11,11,11,yes,A,0,2,627,0.640625,1,1700,2,1,TRUE
8,8,8,yes,A,0,2,839,0.640625,1,1700,2,1,TRUE
9,9,9,yes,A,0,2,560,0.640625,1,1700,2,1,TRUE
11,11,11,yes,A,0,2,664,0.640625,1,1700,2,1,TRUE
11,11,11,yes,A,0,2,524,0.640625,1,1700,2,1,TRUE
10,10,10,yes,A,0,2,701,0.640625,1,1700,2,1,TRUE
11,11,11,yes,A,0,2,596,0.640625,1,1700,2,1,TRUE
9,9,9,yes,A,0,2,525,0.640625,1,1700,2,1,TRUE
12,12,12,yes,A,0,2,664,0.640625,1,1700,2,1,TRUE
13,13,13,yes,A,0,2,596,0.640625,1,1700,2,1,TRUE
10,10,10,yes,A,0,2,871,0.640625,1,1700,2,1,TRUE
11,11,11,yes,A,0,2,736,0.640625,1,1700,2,1,TRUE
12,12,12,yes,A,0,2,628,0.640625,1,1700,2,1,TRUE
8,8,8,yes,A,0,2,492,0.640625,1,1700,2,1,TRUE
9,9,9,yes,A,0,2,596,0.640625,1,1700,2,1,TRUE
10,10,10,yes,A,0,2,871,0.640625,1,1700,2,1,TRUE
12,12,12,yes,A,0,2,840,0.640625,1,1700,2,1,TRUE
12,12,12,yes,A,0,2,596,0.640625,1,1700,2,1,TRUE
9,9,9,yes,A,0,2,559,0.640625,1,1700,2,1,TRUE
11,11,11,yes,A,0,2,736,0.640625,1,1700,2,1,TRUE
12,12,12,yes,A,0,2,735,0.640625,1,1700,2,1,TRUE
13,13,13,yes,A,0,2,664,0.640625,1,1700,2,1,TRUE
13,13,13,yes,A,0,2,701,0.640625,1,1700,2,1,TRUE
12,12,12,yes,A,0,2,560,0.640625,1,1700,2,1,TRUE
11,11,11,yes,A,0,2,628,0.640625,1,1700,2,1,TRUE
12,12,12,yes,A,0,2,804,0.640625,1,1700,2,1,TRUE
14,14,14,yes,A,0,2,561,0.640625,1,1700,2,1,TRUE
13,13,13,yes,A,0,2,596,0.640625,1,1700,2,1,TRUE
12,12,12,yes,A,0,2,628,0.640625,1,1700,2,1,TRUE
13,13,13,yes,A,0,2,737,0.640625,1,1700,2,1,TRUE
13,13,13,yes,A,0,2,595,0.640625,1,1700,2,1,TRUE
0,0,4,no,S,-4,2,664,0.640625,1,1700,2,1,TRUE
0,0,2,no,S,-2,2,735,0.640625,1,1700,2,1,TRUE
0,0,3,no,S,-3,2,872,0.640625,1,1700,2,1,TRUE
0,0,1,no,S,-1,2,664,0.640625,1,1700,2,1,TRUE
3,3,0,no,S,3,2,736,0.640625,1,1700,2,1,TRUE
2,2,0,no,S,2,2,596,0.640625,1,1700,2,1,TRUE
1,1,4,no,S,-3,2,524,0.640625,1,1700,2,1,TRUE
0,0,1,no,S,-1,2,595,0.640625,1,1700,2,1,TRUE
0,0,3,no,S,-3,2,700,0.640625,1,1700,2,1,TRUE
4,4,0,no,S,4,2,597,0.640625,1,1700,2,1,TRUE
2,2,0,no,S,2,2,559,0.640625,1,1700,2,1,TRUE
0,0,3,no,S,-3,2,803,0.640625,1,1700,2,1,TRUE
1,1,0,no,S,1,2,664,0.640625,1,1700,2,1,TRUE
0,0,1,no,S,-1,2,700,0.640625,1,1700,2,1,TRUE
0,0,1,no,S,-1,2,804,0.640625,1,1700,2,1,TRUE
5,5,0,no,S,5,2,700,0.640625,1,1700,2,1,TRUE
4,4,0,no,S,4,2,663,0.640625,1,1700,2,1,TRUE
2,2,0,no,S,2,2,736,0.640625,1,1700,2,1,TRUE
0,0,5,no,S,-5,2,768,0.640625,1,1700,2,1,TRUE
1,1,6,no,S,-5,2,873,0.640625,1,1700,2,1,TRUE
0,0,2,no,S,-2,2,700,0.640625,1,1700,2,1,TRUE
3,3,0,no,S,3,2,NA,0.640625,1,1700,2,1,TRUE
1,1,0,no,S,1,2,628,0.640625,1,1700,2,1,TRUE
0,0,5,no,S,-5,2,768,0.640625,1,1700,2,1,TRUE
6,6,3,no,S,3,2,248,0.640625,1,1700,2,1,TRUE
0,0,2,no,S,-2,2,699,0.640625,1,1700,2,1,TRUE
4,4,0,no,S,4,2,628,0.640625,1,1700,2,1,TRUE
3,3,0,no,S,3,2,872,0.640625,1,1700,2,1,TRUE
1,1,0,no,S,1,2,628,0.640625,1,1700,2,1,TRUE
5,5,0,no,S,5,2,559,0.640625,1,1700,2,1,TRUE
2,2,1,no,S,1,2,628,0.640625,1,1700,2,1,TRUE
3,3,2,no,S,1,2,735,0.640625,1,1700,2,1,TRUE
1,1,0,no,S,1,2,492,0.640625,1,1700,2,1,TRUE
0,0,2,no,S,-2,2,804,0.640625,1,1700,2,1,TRUE
2,2,0,no,S,2,2,908,0.640625,1,1700,2,1,TRUE
0,0,1,no,S,-1,2,596,0.640625,1,1700,2,1,TRUE
0,0,4,no,S,-4,2,627,0.640625,1,1700,2,1,TRUE
0,0,0,yes,S,0,2,664,0.640625,1,1700,2,1,TRUE
0,0,0,yes,S,0,2,628,0.640625,1,1700,2,1,TRUE
0,0,0,yes,S,0,2,628,0.640625,1,1700,2,1,TRUE
0,0,0,yes,S,0,2,628,0.640625,1,1700,2,1,TRUE
0,0,0,yes,S,0,2,628,0.640625,1,1700,2,1,TRUE
3,3,3,yes,S,0,2,NA,0.640625,1,1700,2,1,TRUE
1,1,1,yes,S,0,2,664,0.640625,1,1700,2,1,TRUE
0,0,0,yes,S,0,2,943,0.640625,1,1700,2,1,TRUE
2,2,2,yes,S,0,2,700,0.640625,1,1700,2,1,TRUE
4,4,4,yes,S,0,2,628,0.640625,1,1700,2,1,TRUE
0,0,0,yes,S,0,2,492,0.640625,1,1700,2,1,TRUE
2,2,2,yes,S,0,2,768,0.640625,1,1700,2,1,TRUE
1,1,1,yes,S,0,2,664,0.640625,1,1700,2,1,TRUE
0,0,0,yes,S,0,2,212,0.640625,1,1700,2,1,TRUE
0,0,0,yes,S,0,2,524,0.640625,1,1700,2,1,TRUE
3,3,3,yes,S,0,2,664,0.640625,1,1700,2,1,TRUE
5,5,5,yes,S,0,2,NA,0.640625,1,1700,2,1,TRUE
0,0,0,yes,S,0,2,596,0.640625,1,1700,2,1,TRUE
4,4,4,yes,S,0,2,664,0.640625,1,1700,2,1,TRUE
1,1,1,yes,S,0,2,664,0.640625,1,1700,2,1,TRUE
2,2,2,yes,S,0,2,664,0.640625,1,1700,2,1,TRUE
1,1,1,yes,S,0,2,628,0.640625,1,1700,2,1,TRUE
0,0,0,yes,S,0,2,NA,0.640625,1,1700,2,1,TRUE
0,0,0,yes,S,0,2,664,0.640625,1,1700,2,1,TRUE
5,5,5,yes,S,0,2,840,0.640625,1,1700,2,1,TRUE
3,3,3,yes,S,0,2,628,0.640625,1,1700,2,1,TRUE
2,2,2,yes,S,0,2,767,0.640625,1,1700,2,1,TRUE
6,6,6,yes,S,0,2,803,0.640625,1,1700,2,1,TRUE
0,0,0,yes,S,0,2,560,0.640625,1,1700,2,1,TRUE
4,4,4,yes,S,0,2,736,0.640625,1,1700,2,1,TRUE
2,2,2,yes,S,0,2,804,0.640625,1,1700,2,1,TRUE
1,1,1,yes,S,0,2,595,0.640625,1,1700,2,1,TRUE
0,0,0,yes,S,0,2,736,0.640625,1,1700,2,1,TRUE
3,3,3,yes,S,0,2,804,0.640625,1,1700,2,1,TRUE
0,0,0,yes,S,0,2,736,0.640625,1,1700,2,1,TRUE
1,1,1,yes,S,0,2,699,0.640625,1,1700,2,1,TRUE
0,0,0,yes,S,0,2,908,0.640625,1,1700,2,1,TRUE
8,8,9,no,A,-1,3,872,0.5625,0,1700,1,1,FALSE
9,9,11,no,A,-2,3,805,0.5625,0,1700,1,1,FALSE
8,8,12,no,A,-4,3,700,0.5625,0,1700,1,1,FALSE
10,10,12,no,A,-2,3,839,0.5625,0,1700,1,1,FALSE
12,12,11,no,A,1,3,804,0.5625,0,1700,1,1,FALSE
13,13,12,no,A,1,3,664,0.5625,0,1700,1,1,FALSE
12,12,11,no,A,1,3,769,0.5625,0,1700,1,1,FALSE
11,11,10,no,A,1,3,768,0.5625,0,1700,1,1,FALSE
12,12,11,no,A,1,3,768,0.5625,0,1700,1,1,FALSE
13,13,9,no,A,4,3,872,0.5625,0,1700,1,1,FALSE
10,10,12,no,A,-2,3,NA,0.5625,0,1700,1,1,FALSE
13,13,11,no,A,2,3,736,0.5625,0,1700,1,1,FALSE
9,9,12,no,A,-3,3,769,0.5625,0,1700,1,1,FALSE
11,11,12,no,A,-1,3,1048,0.5625,0,1700,1,1,FALSE
10,10,14,no,A,-4,3,1116,0.5625,0,1700,1,1,FALSE
9,9,10,no,A,-1,3,736,0.5625,0,1700,1,1,FALSE
12,12,10,no,A,2,3,560,0.5625,0,1700,1,1,FALSE
14,14,13,no,A,1,3,700,0.5625,0,1700,1,1,FALSE
11,11,12,no,A,-1,3,943,0.5625,0,1700,1,1,FALSE
12,12,8,no,A,4,3,907,0.5625,0,1700,1,1,FALSE
12,12,9,no,A,3,3,804,0.5625,0,1700,1,1,FALSE
13,13,10,no,A,3,3,767,0.5625,0,1700,1,1,FALSE
9,9,10,no,A,-1,3,803,0.5625,0,1700,1,1,FALSE
11,11,12,no,A,-1,3,737,0.5625,0,1700,1,1,FALSE
12,12,13,no,A,-1,3,803,0.5625,0,1700,1,1,FALSE
13,13,12,no,A,1,3,664,0.5625,0,1700,1,1,FALSE
9,9,14,no,A,-5,3,805,0.5625,0,1700,1,1,FALSE
10,10,11,no,A,-1,3,872,0.5625,0,1700,1,1,FALSE
12,12,8,no,A,4,3,736,0.5625,0,1700,1,1,FALSE
11,11,13,no,A,-2,3,839,0.5625,0,1700,1,1,FALSE
10,10,12,no,A,-2,3,736,0.5625,0,1700,1,1,FALSE
9,9,13,no,A,-4,3,769,0.5625,0,1700,1,1,FALSE
11,11,13,no,A,-2,3,840,0.5625,0,1700,1,1,FALSE
12,12,13,no,A,-1,3,700,0.5625,0,1700,1,1,FALSE
11,11,9,no,A,2,3,804,0.5625,0,1700,1,1,FALSE
12,12,10,no,A,2,3,1048,0.5625,0,1700,1,1,FALSE
13,13,9,no,A,4,3,804,0.5625,0,1700,1,1,FALSE
10,10,11,no,A,-1,3,735,0.5625,0,1700,1,1,FALSE
11,11,9,no,A,2,3,804,0.5625,0,1700,1,1,FALSE
14,14,11,no,A,3,3,768,0.5625,0,1700,1,1,FALSE
12,12,12,yes,A,0,3,907,0.5625,0,1700,1,1,FALSE
10,10,10,yes,A,0,3,1188,0.5625,0,1700,1,1,FALSE
9,9,9,yes,A,0,3,768,0.5625,0,1700,1,1,FALSE
9,9,9,yes,A,0,3,768,0.5625,0,1700,1,1,FALSE
10,10,10,yes,A,0,3,700,0.5625,0,1700,1,1,FALSE
10,10,10,yes,A,0,3,736,0.5625,0,1700,1,1,FALSE
11,11,11,yes,A,0,3,804,0.5625,0,1700,1,1,FALSE
12,12,12,yes,A,0,3,943,0.5625,0,1700,1,1,FALSE
14,14,14,yes,A,0,3,840,0.5625,0,1700,1,1,FALSE
11,11,11,yes,A,0,3,908,0.5625,0,1700,1,1,FALSE
8,8,8,yes,A,0,3,735,0.5625,0,1700,1,1,FALSE
9,9,9,yes,A,0,3,839,0.5625,0,1700,1,1,FALSE
11,11,11,yes,A,0,3,737,0.5625,0,1700,1,1,FALSE
11,11,11,yes,A,0,3,1084,0.5625,0,1700,1,1,FALSE
10,10,10,yes,A,0,3,804,0.5625,0,1700,1,1,FALSE
11,11,11,yes,A,0,3,945,0.5625,0,1700,1,1,FALSE
9,9,9,yes,A,0,3,1084,0.5625,0,1700,1,1,FALSE
12,12,12,yes,A,0,3,665,0.5625,0,1700,1,1,FALSE
13,13,13,yes,A,0,3,525,0.5625,0,1700,1,1,FALSE
10,10,10,yes,A,0,3,1188,0.5625,0,1700,1,1,FALSE
11,11,11,yes,A,0,3,769,0.5625,0,1700,1,1,FALSE
12,12,12,yes,A,0,3,803,0.5625,0,1700,1,1,FALSE
8,8,8,yes,A,0,3,804,0.5625,0,1700,1,1,FALSE
9,9,9,yes,A,0,3,909,0.5625,0,1700,1,1,FALSE
10,10,10,yes,A,0,3,1255,0.5625,0,1700,1,1,FALSE
12,12,12,yes,A,0,3,736,0.5625,0,1700,1,1,FALSE
12,12,12,yes,A,0,3,768,0.5625,0,1700,1,1,FALSE
9,9,9,yes,A,0,3,1048,0.5625,0,1700,1,1,FALSE
11,11,11,yes,A,0,3,1189,0.5625,0,1700,1,1,FALSE
12,12,12,yes,A,0,3,664,0.5625,0,1700,1,1,FALSE
13,13,13,yes,A,0,3,872,0.5625,0,1700,1,1,FALSE
13,13,13,yes,A,0,3,873,0.5625,0,1700,1,1,FALSE
12,12,12,yes,A,0,3,769,0.5625,0,1700,1,1,FALSE
11,11,11,yes,A,0,3,872,0.5625,0,1700,1,1,FALSE
12,12,12,yes,A,0,3,908,0.5625,0,1700,1,1,FALSE
