time,phase,hr,ibi,rrate,ramp,hrbase,ibibase,b.hr,b.ibi,b.rrate,b.ramp,b.hrbase,b.ibibase
79,goal,74.441687,806,19.843164,0.000482,68.6811477,874.6273232,90.614887,662.142857,17.76683,0.000127,89.4462967,672.0490033
80,goal,71.581961,838.2,10.294036,0.000649,68.6811477,874.6273232,96.308186,623,17.42243,0.000147,89.4462967,672.0490033
81,goal,71.547818,838.6,20.20094,0.003821,68.6811477,874.6273232,89.209856,672.571429,9.684912,0.000029,89.4462967,672.0490033
82,goal,67.598017,887.6,14.292417,0.020107,68.6811477,874.6273232,92.551785,648.285714,16.754661,0.000041,89.4462967,672.0490033
83,goal,67.219359,892.6,14.827964,0.000127,68.6811477,874.6273232,84.249941,712.166667,19.29079,0.00002,89.4462967,672.0490033
84,goal,69.979006,857.4,20.354,0.000208,68.6811477,874.6273232,89.781958,668.285714,10.33257,0.00003,89.4462967,672.0490033
85,goal,68.430657,876.8,18.745556,0.00166,68.6811477,874.6273232,86.893555,690.5,15.97578,0.000175,89.4462967,672.0490033
86,goal,66.68519,899.75,19.650761,0.00073,68.6811477,874.6273232,88.776157,675.857143,16.315161,0.000216,89.4462967,672.0490033
87,goal,61.919505,969,9.706766,0.00032,68.6811477,874.6273232,80.450523,745.8,17.767144,0.000044,89.4462967,672.0490033
88,goal,64.808814,925.8,23.537214,0.000148,68.6811477,874.6273232,83.72093,716.666667,16.443754,0.000047,89.4462967,672.0490033
89,goal,70.274069,853.8,20.735113,0.006195,68.6811477,874.6273232,83.217753,721,12.831624,0.00017,89.4462967,672.0490033
90,goal,78.00312,769.2,14.479914,0.000814,68.6811477,874.6273232,85.267646,703.666667,9.485633,0.000019,89.4462967,672.0490033
91,goal,82.872928,724,19.412373,0.004341,68.6811477,874.6273232,84.711577,708.285714,19.441401,0.000162,89.4462967,672.0490033
92,goal,75.891728,790.6,23.273578,0.00126,68.6811477,874.6273232,96.748186,620.166667,13.771052,0.003223,89.4462967,672.0490033
93,goal,67.811935,884.8,15.459897,0.001348,68.6811477,874.6273232,87.118855,688.714286,17.033118,0.00001,89.4462967,672.0490033
94,goal,66.206897,906.25,17.487399,0.000712,68.6811477,874.6273232,90.520493,662.833333,15.173381,0.000015,89.4462967,672.0490033
95,goal,65.818341,911.6,17.600547,0.001684,68.6811477,874.6273232,87.227414,687.857143,18.398463,0.000108,89.4462967,672.0490033
96,goal,63.694268,942,17.211417,0.00353,68.6811477,874.6273232,81.877729,732.8,16.840194,0.00033,89.4462967,672.0490033
97,goal,69.946374,857.8,16.66482,0.010414,68.6811477,874.6273232,94.022834,638.142857,13.502702,0.002067,89.4462967,672.0490033
98,goal,66.90455,896.8,17.650052,0.00059,68.6811477,874.6273232,75.471698,795,17.075598,0.000007,89.4462967,672.0490033
99,goal,71.701721,836.8,15.994637,0.001966,68.6811477,874.6273232,87.902888,682.571429,24.04981,0.000054,89.4462967,672.0490033
100,goal,72.411296,828.6,15.867776,0.001408,68.6811477,874.6273232,98.085007,611.714286,15.579291,0.003441,89.4462967,672.0490033
101,goal,70.57163,850.2,16.766095,0.000414,68.6811477,874.6273232,83.275503,720.5,13.676163,0.000455,89.4462967,672.0490033
102,goal,69.991251,857.25,17.886146,0.00087,68.6811477,874.6273232,94.086022,637.714286,13.412048,0.000364,89.4462967,672.0490033
103,goal,68.681319,873.6,19.014198,0.000339,68.6811477,874.6273232,90.452261,663.333333,16.958375,0.000069,89.4462967,672.0490033
104,goal,70.060719,856.4,16.856419,0.001381,68.6811477,874.6273232,87.810997,683.285714,16.101347,0.000002,89.4462967,672.0490033
105,goal,72.115385,832,16.572551,0.00094,68.6811477,874.6273232,91.649695,654.666667,12.828662,0.000228,89.4462967,672.0490033
106,goal,69.654052,861.4,16.977891,0.00069,68.6811477,874.6273232,81.411126,737,17.715136,0.000006,89.4462967,672.0490033
107,goal,71.701721,836.8,11.309216,0.001887,68.6811477,874.6273232,90.634441,662,23.27754,0.000006,89.4462967,672.0490033
108,goal,71.633238,837.6,13.769736,0.000926,68.6811477,874.6273232,91.205212,657.857143,17.19291,0.000035,89.4462967,672.0490033
109,goal,71.377587,840.6,14.86704,0.000782,68.6811477,874.6273232,89.463221,670.666667,17.122488,0.000002,89.4462967,672.0490033
110,goal,69.848661,859,16.066134,0.000212,68.6811477,874.6273232,92.572184,648.142857,19.195418,0.000103,89.4462967,672.0490033
111,goal,70.901034,846.25,18.279172,0.000208,68.6811477,874.6273232,83.9944,714.333333,20.087786,0.00001,89.4462967,672.0490033
112,goal,71.411569,840.2,15.659587,0.001478,68.6811477,874.6273232,90.167454,665.428571,16.778086,0.000012,89.4462967,672.0490033
113,goal,72.957198,822.4,17.184399,0.00089,68.6811477,874.6273232,89.977506,666.833333,10.975376,0.00001,89.4462967,672.0490033
114,goal,74.242112,808.166667,19.121869,0.0006,68.6811477,874.6273232,90.202957,665.166667,19.010297,0.000021,89.4462967,672.0490033
115,goal,73.295871,818.6,19.339116,0.000626,68.6811477,874.6273232,91.383812,656.571429,21.902474,0.000021,89.4462967,672.0490033
116,goal,75,800,19.52074,0.001019,68.6811477,874.6273232,87.97654,682,18.659247,0.000015,89.4462967,672.0490033
117,goal,73.982737,811,15.227923,0.00028,68.6811477,874.6273232,93.91771,638.857143,22.293497,0.000001,89.4462967,672.0490033
118,goal,74.906367,801,18.159897,0.001016,68.6811477,874.6273232,86.434574,694.166667,13.991961,0.000006,89.4462967,672.0490033
119,goal,72.507553,827.5,23.737725,0.000264,68.6811477,874.6273232,92.429577,649.142857,18.340375,0.000005,89.4462967,672.0490033
120,goal,71.650346,837.4,17.737381,0.000335,68.6811477,874.6273232,85.795996,699.333333,16.560187,0.000011,89.4462967,672.0490033
121,femalereceive,77.479339,774.4,20.559697,0.000077,68.6811477,874.6273232,96.374484,622.571429,20.740838,0.000018,89.4462967,672.0490033
122,femalereceive,68.886338,871,17.058345,0.018089,68.6811477,874.6273232,85.898354,698.5,11.858381,0.000002,89.4462967,672.0490033
123,femalereceive,79.176564,757.8,15.110398,0.000567,68.6811477,874.6273232,95.80292,626.285714,10.261539,0.000037,89.4462967,672.0490033
124,femalereceive,65.387969,917.6,17.641386,0.000762,68.6811477,874.6273232,92.260379,650.333333,12.118778,0.000023,89.4462967,672.0490033
125,femalereceive,74.850299,801.6,17.989539,0.000823,68.6811477,874.6273232,95.846645,626,16.025705,0.000052,89.4462967,672.0490033
126,femalereceive,69.913773,858.2,18.517177,0.001311,68.6811477,874.6273232,89.820359,668,10.330571,0.000021,89.4462967,672.0490033
127,femalereceive,73.691968,814.2,15.147686,0.003552,68.6811477,874.6273232,93.437152,642.142857,15.641305,0.000044,89.4462967,672.0490033
128,femalereceive,65.879769,910.75,17.405415,0.000056,68.6811477,874.6273232,92.331367,649.833333,14.562015,0.000016,89.4462967,672.0490033
129,femalereceive,68.399453,877.2,13.071817,0.000883,68.6811477,874.6273232,91.643029,654.714286,17.801578,0.000009,89.4462967,672.0490033
130,femalereceive,72.674419,825.6,20.000273,0.000828,68.6811477,874.6273232,94.149294,637.285714,18.928277,0.000011,89.4462967,672.0490033
131,femalereceive,75.075075,799.2,14.183929,0.000288,68.6811477,874.6273232,91.324201,657,14.392195,0.000081,89.4462967,672.0490033
132,femalereceive,73.764446,813.4,14.239095,0.000555,68.6811477,874.6273232,97.334878,616.428571,15.01083,0.000039,89.4462967,672.0490033
133,femalereceive,79.120879,758.333333,20.407243,0.003473,68.6811477,874.6273232,88.735519,676.166667,16.614067,0.000015,89.4462967,672.0490033
134,femalereceive,72.219547,830.8,13.126687,0.001986,68.6811477,874.6273232,95.759234,626.571429,18.807061,0.000014,89.4462967,672.0490033
135,femalereceive,76.452599,784.8,16.603086,0.000665,68.6811477,874.6273232,94.382022,635.714286,24.177692,0.000012,89.4462967,672.0490033
136,femalereceive,72.800809,824.166667,22.440645,0.00005,68.6811477,874.6273232,98.707403,607.857143,18.885361,0.000136,89.4462967,672.0490033
137,femalereceive,85.689803,700.2,12.843462,0.002628,68.6811477,874.6273232,98.406748,609.714286,16.783226,0.000438,89.4462967,672.0490033
138,femalereceive,69.995334,857.2,12.941659,0.001652,68.6811477,874.6273232,98.50195,609.125,19.964787,0.000008,89.4462967,672.0490033
139,femalereceive,70.028011,856.8,14.199651,0.000764,68.6811477,874.6273232,98.107919,611.571429,14.500573,0.0001,89.4462967,672.0490033
140,femalereceive,66.269052,905.4,13.494487,0.001114,68.6811477,874.6273232,85.795996,699.333333,14.567445,0.000052,89.4462967,672.0490033
141,femalereceive,65.111232,921.5,11.929545,0.001043,68.6811477,874.6273232,98.661029,608.142857,18.506921,0.000163,89.4462967,672.0490033
142,femalereceive,70.356473,852.8,17.766803,0.00228,68.6811477,874.6273232,85.086268,705.166667,17.058751,0.000364,89.4462967,672.0490033
143,femalereceive,64.377682,932,13.47231,0.001435,68.6811477,874.6273232,91.304348,657.142857,22.63937,0.00001,89.4462967,672.0490033
144,femalereceive,64.488392,930.4,18.307609,0.000113,68.6811477,874.6273232,97.560976,615,12.811529,0.000447,89.4462967,672.0490033
145,femalereceive,65.005417,923,16.77316,0.000151,68.6811477,874.6273232,85.409253,702.5,16.599129,0.000095,89.4462967,672.0490033
146,femalereceive,58.508045,1025.5,10.953163,0.000528,68.6811477,874.6273232,88.439672,678.428571,22.201754,0.000012,89.4462967,672.0490033
147,femalereceive,65.86169,911,20.204164,0.000389,68.6811477,874.6273232,91.696383,654.333333,16.256975,0.000051,89.4462967,672.0490033
148,femalereceive,62.827225,955,20.698382,0.001014,68.6811477,874.6273232,94.936709,632,13.590412,0.000132,89.4462967,672.0490033
149,femalereceive,63.728093,941.5,14.108305,0.001281,68.6811477,874.6273232,88.964202,674.428571,14.674312,0.000055,89.4462967,672.0490033
150,femalereceive,67.506751,888.8,20.32374,0.002718,68.6811477,874.6273232,90.474994,663.166667,19.108085,0.000084,89.4462967,672.0490033
151,femalereceive,69.188192,867.2,14.695261,0.001925,68.6811477,874.6273232,91.205212,657.857143,18.331313,0.000244,89.4462967,672.0490033
152,femalereceive,65.934066,910,15.279444,0.000327,68.6811477,874.6273232,95.606647,627.571429,15.076764,0.000463,89.4462967,672.0490033
153,femalereceive,73.782587,813.2,23.56178,0.000456,68.6811477,874.6273232,78.657577,762.8,15.518903,0.000049,89.4462967,672.0490033
154,femalereceive,70.044361,856.6,17.255056,0.000256,68.6811477,874.6273232,91.126058,658.428571,15.506534,0.000912,89.4462967,672.0490033
155,femalereceive,65.259952,919.4,18.91628,0.000345,68.6811477,874.6273232,84.348641,711.333333,14.498353,0.000353,89.4462967,672.0490033
156,femalereceive,64.585576,929,14.938522,0.001416,68.6811477,874.6273232,88.235294,680,17.173756,0.00009,89.4462967,672.0490033
157,femalereceive,70.638097,849.4,16.136499,0.012453,68.6811477,874.6273232,83.429896,719.166667,17.500704,0.000352,89.4462967,672.0490033
158,femalereceive,61.255743,979.5,23.835314,0.000395,68.6811477,874.6273232,89.590444,669.714286,13.205129,0.000195,89.4462967,672.0490033
159,femalereceive,72.30658,829.8,21.805841,0.000133,68.6811477,874.6273232,81.429541,736.833333,20.785705,0.000015,89.4462967,672.0490033
160,femalereceive,66.852368,897.5,17.098249,0.000276,68.6811477,874.6273232,93.312597,643,16.772939,0.000086,89.4462967,672.0490033
161,femalereceive,72.886297,823.2,18.296033,0.001134,68.6811477,874.6273232,97.902098,612.857143,16.618046,0.000091,89.4462967,672.0490033
162,femalereceive,64.780825,926.2,11.138406,0.001196,68.6811477,874.6273232,90.09009,666,15.912517,0.000101,89.4462967,672.0490033
163,femalereceive,73.22431,819.4,11.574484,0.006828,68.6811477,874.6273232,92.125466,651.285714,20.712673,0.000109,89.4462967,672.0490033
164,femalereceive,75.056292,799.4,14.965247,0.000523,68.6811477,874.6273232,89.108911,673.333333,18.023921,0.000061,89.4462967,672.0490033
165,femalereceive,69.1085,868.2,26.326169,0.000082,68.6811477,874.6273232,91.205212,657.857143,21.684525,0.00004,89.4462967,672.0490033
166,femalereceive,60.944642,984.5,16.186162,0.002827,68.6811477,874.6273232,86.455331,694,14.223631,0.000121,89.4462967,672.0490033
167,femalereceive,62.695925,957,17.379058,0.00084,68.6811477,874.6273232,88.560886,677.5,17.789127,0.000137,89.4462967,672.0490033
